simbad_id,spectral_type,mk_class_simple,V_mag,ra_deg,dec_deg,field,n_visits_total,n_u,n_g,n_r,n_i,n_z,n_y,lsst_tract,lsst_patch,lsst_objectId,lsst_ra,lsst_dec,separation_arcsec,match_status
SDSS J100158.92+021246.1,A0,A,18.95599937438965,150.49553378305,2.2128088596900004,COSMOS,2333,204,401,484,700,416,128,9813,43,7.880133178378478e+17,150.4955205538976,2.2127462612723052,0.23032437265316882,matched
SDSS J100221.95+022041.8,M3,M,20.959999084472656,150.59147001263,2.34495185184,COSMOS,2330,204,401,482,699,416,128,9813,52,7.88013936313136e+17,150.5913932906662,2.344915773263765,0.3050045561289978,matched
SDSS J095808.75+020000.9,F8,F,19.211000442504883,149.5364898988521,2.0002543319886112,COSMOS,2330,204,401,480,698,417,130,9813,39,7.880130429599364e+17,149.53647358592585,2.0002557834088828,0.05892288205510916,matched
2MASS J10000275+0231274,M4V,M,18.833999633789062,150.01147509353,2.5243142632300004,COSMOS,2329,204,401,482,696,416,130,9813,66,7.880148983858107e+17,150.0113934885072,2.5241938039633034,0.5236347862213759,matched
SDSS J100109.02+021351.0,K7,K,18.92799949645996,150.28760715884,2.23083055898,COSMOS,2329,204,401,482,698,416,128,9813,44,7.880133865573272e+17,150.28758474627574,2.230818031780558,0.0923800018036597,matched
2MASS J10005451+0216050,M5,M,20.78400039672852,150.22711731319,2.2680931185299995,COSMOS,2329,204,401,482,698,416,128,9813,55,7.880141424715619e+17,150.22695223036789,2.2681269207846984,0.6061725186606635,matched
2MASS J10003105+0241554,M3.8,M,19.49399948120117,150.12940577076,2.6987755921100005,COSMOS,2329,204,401,482,697,416,129,9813,75,7.880155168611026e+17,150.12943585946977,2.6985030477681207,0.9871075392514415,matched
COSMOS 2804135,F5,F,18.47100067138672,149.61873031864,2.75211558302,COSMOS,2328,204,401,480,694,418,131,9813,88,7.880164102142922e+17,149.61872845969367,2.7521086353697695,0.025889371476757943,matched
ACS-GC 20099329,M1e,M,18.875,149.75408918121,2.14182543754,COSMOS,2328,204,401,480,697,417,129,9813,47,7.880135927157503e+17,149.75406793864678,2.1418262330025266,0.07647343761412136,matched
COSMOS 2685690,F5,F,19.301000595092773,150.06978335099,2.7441721135800003,COSMOS,2328,204,401,482,696,416,129,9813,86,7.880162727753388e+17,150.06977999154572,2.74416258481157,0.03636845096510065,matched
2MASS J10004035+0236565,M5,M,19.35400009155273,150.16817056093,2.61568890744,COSMOS,2328,204,401,482,696,416,129,9813,75,7.880155168610973e+17,150.16810927730432,2.6155435512884546,0.5677996882973705,matched
DENIS J095927.3+015559,F8III,F,18.756999969482425,149.86390560608,1.9331922152300005,COSMOS,2327,204,401,480,697,416,129,9813,37,7.880129055209815e+17,149.86389154258822,1.9331762430598693,0.07659349605358148,matched
SDSS J100014.23+023742.2,DA+M,?,20.33799934387207,150.05927479659,2.62837283186,COSMOS,2327,204,401,481,696,416,129,9813,76,7.880155855805743e+17,150.0592950567796,2.6282894604516818,0.3088540654101823,matched
2MASS J10005518+0159376,M4e,M,20.08300018310547,150.22994464057,1.99372662175,COSMOS,2326,204,401,480,697,416,128,9813,35,7.880127680820305e+17,150.22978758687515,1.9938018791039527,0.6266448862234318,matched
COSMOS 1235283,M5,M,19.63400077819824,150.20632367214,2.1207302256,COSMOS,2326,204,401,480,697,416,128,9813,45,7.880134552767948e+17,150.20616441364845,2.1205764283806143,0.7967485819043669,matched
2MASS J10003351+0205430,M3,M,18.92799949645996,150.13965941016,2.09529696335,COSMOS,2326,204,401,479,696,417,129,9813,45,7.880134552767935e+17,150.13977051615188,2.0951452408889186,0.6768358667263188,matched
SDSS J100022.20+021019.8,M1,M,19.802000045776367,150.09252675576,2.1721719932700005,COSMOS,2325,204,401,479,696,416,129,9813,45,7.88013455276798e+17,150.09249606373913,2.1720468966796105,0.4636850851756735,matched
2MASS J09595063+0223163,K7,K,18.49300003051757,149.96097355071,2.38775847099,COSMOS,2325,204,401,480,695,416,129,9813,56,7.88014211191045e+17,149.96086773467601,2.3877771634200067,0.3865100014783324,matched
2MASS J10002097+0144317,M5,M,19.121000289916992,150.0874096043221,1.7421181612676,COSMOS,2325,204,401,480,695,416,129,9813,25,7.880120808872588e+17,150.0872121237158,1.7421955574843233,0.7632740280631308,matched
[PBM2009] s9247,M2.5,M,20.200000762939453,53.18815280828,-27.92585184797,ECDFS,511,48,101,90,151,88,33,5063,24,7.553702607181851e+17,53.18815988002695,-27.925882049403075,0.11102761084935268,matched
[PBM2009] s104673,M0.0,M,19.280000686645508,53.13108193846999,-27.74314032244,ECDFS,510,48,101,89,151,88,33,5063,34,7.553709479129537e+17,53.1310726536164,-27.74312260705275,0.07030259264520139,matched
[PBM2009] s108014,M2.0,M,19.339000701904297,53.05813162892,-27.73503739282,ECDFS,510,48,101,89,151,88,33,5063,35,7.553710166324326e+17,53.05825271422629,-27.735044710799766,0.38672375691660943,matched
[PBM2009] s74928,M4.0,M,20.57999992370605,53.17673227245,-27.79974415463,ECDFS,510,48,101,89,151,88,33,5063,34,7.553709479129512e+17,53.17693872106032,-27.799702441002584,0.6743680081198286,matched
[PBM2009] s128247,M2.0,M,20.78899955749512,53.096601921410006,-27.69426512196,ECDFS,510,48,101,89,151,88,33,5063,34,7.553709479129562e+17,53.09676281369658,-27.694095099640975,0.7985398232014884,matched
[PBM2009] s108497,M1.7,M,20.940000534057617,53.09306222257,-27.73579776956,ECDFS,510,48,101,89,151,88,33,5063,34,7.553709479129542e+17,53.09305812462944,-27.735830641329446,0.11905658149014282,matched
